Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0VhZ5JYfqPojSYeGWnk4dL,4LaimQU44rsz2kMWQmY6Bi,You’re Beautiful - Acoustic,You’re Beautiful (Acoustic),John Adams,9/3/2018,204973,53,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:43:08Z,acoustic cover,0.479,0.154,2,-11.282,1,0.0352,0.915,0,0.0974,0.36,147.207,4
6S18su3fmCpLzBsJCQWovx,7qG3b048QCHVRO5Pv1T5lw,Somebody's Me,Insomniac (New International Version Spanish),Enrique Iglesias,2007,238466,52,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:43:57Z,"dance pop,latin pop,mexican pop",0.625,0.55,1,-6.916,1,0.0258,0.301,0,0.11,0.353,83.007,4
0Nwar8rweBUyfyuoyjjUvk,1Xyo4u8uXC1ZmMpatF05PJ,Privilege,"My Dear Melancholy,",The Weeknd,3/30/2018,170573,67,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-25T03:26:43Z,"canadian contemporary r&b,canadian pop,pop",0.404,0.564,11,-7.013,0,0.0344,0.915,0.00252,0.134,0.371,93.631,4
5L3ecxQnQ9qTBmnLQiwf0C,"0Y5tJX1MQlPlqiwlOH1tJY,4q3ewBCX7sLwd24euuV69X,1Xyo4u8uXC1ZmMpatF05PJ",K-POP,K-POP,"Travis Scott,Bad Bunny,The Weeknd",7/21/2023,185220,89,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-28T00:04:47Z,"hip hop,rap,slap house,reggaeton,trap latino,urbano latino,canadian contemporary r&b,canadian pop,pop",0.814,0.618,5,-5.614,0,0.0619,0.0386,0.00000334,0.671,0.535,121.075,4
3P9pRL7V9yM9DhY6NGZjzA,5ZsFI1h6hIdQRw2ti0hz81,Love Like This,Love Like This,ZAYN,7/21/2023,173303,80,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-28T00:06:43Z,"pop,uk pop",0.699,0.645,10,-4.485,0,0.0452,0.217,0.0000063,0.0723,0.484,129.99,4
2ncqKdTj6dz7tWoTMMrAtq,2GoeZ0qOTt6kjsWW4eA6LS,Mahiye Jinna Sohna,Mahiye Jinna Sohna,Darshan Raval,6/22/2023,181250,85,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-28T23:54:12Z,"desi pop,filmi,gujarati pop,modern bollywood",0.567,0.54,1,-5.754,1,0.0406,0.736,0.0000317,0.164,0.331,92.027,4
6qrifdo7QINdPQr80IelGi,"01pFDtbY3k5uOmy0Pbg93C,5mWQT8CLTa4mAQAJdFjHb1",Iraaday,Iraaday,"Rovalio,Abdul Hannan",3/18/2022,133305,75,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-30T21:27:11Z,"pakistani electronic,pakistani pop,pakistani indie,urdu hip hop",0.737,0.458,6,-5.805,1,0.0317,0.601,0.00000698,0.138,0.456,89.993,4
6TRt2bniIq0EIlrDlje7b8,4nDoRrQiYLoBzwC5BhVJzF,First Man,Romance,Camila Cabello,12/6/2019,228758,61,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T02:18:58Z,"dance pop,pop",0.572,0.292,7,-7.621,1,0.0364,0.906,0.00000104,0.106,0.223,100.152,4
25lsnAgJnW8aYfNAOthKko,"4YRxDV8wJFPHPTeXepOstw,3yMmYEklQ7gLOZXEFNd3xr",Tu Hi Hai Aashiqui - Duet,Dishkiyaoon (Original Motion Picture Soundtrack),"Arijit Singh,Palak Muchhal",2/27/2014,300041,60,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T02:19:07Z,"filmi,modern bollywood",0.552,0.546,9,-5.386,0,0.0263,0.548,0,0.0903,0.22,99.971,4
2cz4qH4fCauVA93JHkUMad,"4f7KfxeHq9BiylGmyXepGt,4YRxDV8wJFPHPTeXepOstw",Le Aaunga (From Satyaprem Ki Katha),Le Aaunga (From Satyaprem Ki Katha),"Tanishk Bagchi,Arijit Singh",7/1/2023,243008,69,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-31T02:19:14Z,"filmi,modern bollywood",0.694,0.484,2,-7.037,1,0.0343,0.468,0,0.107,0.214,122.897,4
